ID,Name,Type1,Type2,HP,Atk,Def,Sp Atk,Sp Def,Spe,Color,Height,Weight,Pokedex
186,Politoed,WATER,None,90,75,75,70,90,100,Green,1.1,33.9,"If Poliwag and Poliwhirl hear its echoing cry, they respond by gathering from far and wide."
187,Hoppip,GRASS,FLYING,35,35,40,50,35,55,Pink,0.4,0.5,"It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way."
188,Skiploom,GRASS,FLYING,55,45,50,80,45,65,Green,0.6,1.0,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.
189,Jumpluff,GRASS,FLYING,75,55,70,110,55,95,Blue,0.8,3.0,"Even in the fiercest wind, it can control its fluff to make its way to any place in the world it wants."
190,Aipom,NORMAL,None,55,70,55,85,40,55,Purple,0.8,11.5,Its tail is so powerful that it can use it to grab a tree branch and hold itself up in the air.
191,Sunkern,GRASS,None,30,30,30,30,30,30,Yellow,0.3,1.8,It lives by drinking only dewdrops from under the leaves of plants. It is said that it eats nothing else.
192,Sunflora,GRASS,None,75,75,55,30,105,85,Yellow,0.8,8.5,It gets energy from warm sunlight and is known for its habit of moving in pursuit of it.
193,Yanma,BUG,FLYING,65,65,45,95,75,45,Red,1.2,38.0,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area."
194,Wooper,WATER,GROUND,55,45,45,15,25,25,Blue,0.4,8.5,"When the temperature cools in the evening, they emerge from water to seek food along the shore."
195,Quagsire,WATER,GROUND,95,85,85,35,65,65,Blue,1.4,75.0,"This carefree Pokémon has an easygoing nature. While swimming, it always bumps into boat hulls."
196,Espeon,PSYCHIC,None,65,65,60,110,130,95,Purple,0.9,26.5,"Its fur is so sensitive, it can feel minute shifts in the air and predict the weather...and its foes' thoughts."
197,Umbreon,DARK,None,95,65,110,65,60,130,Black,1.0,27.0,"When exposed to the moon's aura, the rings on its body glow faintly and it's filled with a mysterious power."
198,Murkrow,DARK,FLYING,60,85,42,91,85,42,Black,0.5,2.1,"Feared and loathed by many, it is believed to bring misfortune to all those who see it at night."
199,Slowking,WATER,PSYCHIC,95,75,80,30,100,110,Pink,2.0,79.5,"When its head was bitten, toxins entered Slowpoke's head and unlocked an extraordinary power."
200,Misdreavus,GHOST,None,60,60,60,85,85,85,Purple,0.7,1.0,"It likes playing mischievous tricks, such as screaming and wailing to startle people at night."
201,Unown,PSYCHIC,None,48,72,48,48,72,48,Black,0.5,5.0,"Shaped like ancient writing, it is a huge mystery whether language or Unown came first."
202,Wobbuffet,PSYCHIC,None,190,33,58,33,33,58,Blue,1.3,28.5,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
203,Girafarig,NORMAL,PSYCHIC,70,80,65,85,90,65,Yellow,1.5,41.5,"Its tail has a small brain of its own. Beware! If you get close, it may react to your scent by biting."
204,Pineco,BUG,None,50,65,90,15,35,35,Gray,0.6,7.2,It looks just like a pinecone. Its shell protects it from bird Pokémon that peck it by mistake.
205,Forretress,BUG,STEEL,75,90,140,40,60,60,Purple,1.2,125.8,It remains immovably rooted to its tree. It scatters pieces of its hard shell to drive its enemies away.
206,Dunsparce,NORMAL,None,100,70,70,45,65,65,Yellow,1.5,14.0,It digs into the ground with its tail and makes a mazelike nest. It can fly just a little.
207,Gligar,GROUND,FLYING,65,75,105,85,35,65,Purple,1.1,64.8,"It flies straight at its target's face, then clamps down on the startled victim to inject poison."
208,Steelix,STEEL,GROUND,75,85,200,30,55,65,Gray,9.2,400.0,It chews its way through boulders with its sturdy jaws. Its eyes can see in the darkness underground.
209,Snubbull,FAIRY,None,60,80,50,30,40,40,Pink,0.6,7.8,"Small Pokémon flee from its scary face. It is, however, considered by women to be cute."
210,Granbull,FAIRY,None,90,120,75,45,60,60,Purple,1.4,48.7,It can make most any Pokémon run away simply by opening its mouth wide to reveal its big fangs.
211,Qwilfish,WATER,POISON,65,95,85,85,55,55,Gray,0.5,3.9,The small spikes covering its body developed from scales. They inject a toxin that causes fainting.
212,Scizor,BUG,STEEL,70,130,100,65,55,80,Red,1.8,118.0,It has a steel-hard body. It intimidates foes by upraising its eye-patterned pincers.
213,Shuckle,BUG,ROCK,20,10,230,5,10,230,Yellow,0.6,20.5,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still."
214,Heracross,BUG,FIGHTING,80,125,75,85,40,95,Blue,1.5,54.0,"With its Herculean powers, it can easily throw around an object that is 100 times its own weight."
215,Sneasel,DARK,ICE,55,95,55,115,35,75,Black,0.9,28.0,"Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy."
216,Teddiursa,NORMAL,None,60,80,50,40,50,50,Brown,0.6,8.8,"Before food becomes scarce in wintertime, its habit is to hoard food in many hidden locations."
217,Ursaring,NORMAL,None,90,130,75,55,75,75,Brown,1.8,125.8,"Although it has a large body, it is quite skilled at climbing trees. It eats and sleeps in the treetops."
218,Slugma,FIRE,None,40,40,40,20,70,40,Red,0.7,35.0,"Its body is made of magma. If it doesn't keep moving, its body will cool and harden."
219,Magcargo,FIRE,ROCK,60,50,120,30,90,80,Red,0.8,55.0,Its body is as hot as lava and is always billowing. Flames will occasionally burst from its shell.
220,Swinub,ICE,GROUND,50,50,40,50,30,30,Brown,0.4,6.5,"If it smells something enticing, it dashes off headlong to find the source of the aroma."
221,Piloswine,ICE,GROUND,100,100,80,50,60,60,Brown,1.1,55.8,"Because the long hair all over its body obscures its sight, it just keeps charging repeatedly."
222,Corsola,WATER,ROCK,65,55,95,35,65,95,Pink,0.6,5.0,They prefer unpolluted southern seas. Their coral branches lose their color and deteriorate in dirty water.
223,Remoraid,WATER,None,35,65,35,65,65,35,Gray,0.6,12.0,"Using its dorsal fin as a suction pad, it clings to a Mantine's underside to scavenge for leftovers."
224,Octillery,WATER,None,75,105,75,45,105,75,Red,0.9,28.5,"It traps foes with the suction cups on its tentacles, then smashes them with its rock-hard head."
225,Delibird,ICE,FLYING,45,55,45,75,65,45,Red,0.9,16.0,"It carries food all day long. When someone is lost in the mountains, it shares that food."
226,Mantine,WATER,FLYING,85,40,70,70,80,140,Purple,2.1,220.0,"While elegantly swimming in the sea, it ignores Remoraid that cling to its fins seeking food scraps."
227,Skarmory,STEEL,FLYING,65,80,140,70,40,70,Gray,1.7,50.5,"Despite being clad entirely in iron-hard armor, it flies at speeds over 180 mph."
228,Houndour,DARK,FIRE,45,60,30,65,80,50,Black,0.6,10.8,"To corner prey, they check each other's location using barks that only they can understand."
229,Houndoom,DARK,FIRE,75,90,50,95,110,80,Black,1.4,35.0,"The flames it breathes when angry contain toxins. If they cause a burn, it will hurt forever."
230,Kingdra,WATER,DRAGON,75,95,95,85,95,95,Blue,1.8,152.0,It stores energy by sleeping at underwater depths at which no other life-forms can survive.
231,Phanpy,GROUND,None,90,60,60,40,40,40,Blue,0.5,33.5,It is strong despite its compact size. It can easily pick up and carry an adult human on its back.
232,Donphan,GROUND,None,90,120,120,50,60,60,Gray,1.1,120.0,"The longer and bigger its tusks, the higher its rank in its herd. The tusks take long to grow."
233,Porygon2,NORMAL,None,85,80,90,60,105,95,Red,0.6,32.5,"With planetary development software installed, it became capable of working in space."
234,Stantler,NORMAL,None,73,95,62,85,85,65,Brown,1.4,71.2,The curved antlers subtly change the flow of air to create a strange space where reality is distorted.
235,Smeargle,NORMAL,None,55,20,35,75,20,45,White,1.2,58.0,"Once it becomes an adult, it has a tendency to let its comrades plant footprints on its back."
236,Tyrogue,FIGHTING,None,35,35,35,35,35,35,Purple,0.7,21.0,"To brush up on its fighting skills, it will challenge anyone. It has a very strong competitive spirit."
237,Hitmontop,FIGHTING,None,50,95,95,70,35,110,Brown,1.4,48.0,"If you are enchanted by its smooth, dance-like kicks, you may get a closer experience with one than you'd like."
238,Smoochum,ICE,PSYCHIC,45,30,15,65,85,65,Pink,0.4,6.0,"It tests everything by touching with its lips, which remember what it likes and dislikes."
239,Elekid,ELECTRIC,None,45,63,37,95,65,55,Yellow,0.6,23.5,Spinning its arms around to generate electricity makes the area between its horns shine light blue.
240,Magby,FIRE,None,45,75,37,83,70,55,Red,0.7,21.4,"Its magma-like blood circulates throughout its body. Its body's heat can top 1,100 degrees Fahrenheit."
241,Miltank,NORMAL,None,95,80,105,100,40,70,Pink,1.2,75.5,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary."
242,Blissey,NORMAL,None,255,10,10,55,75,135,Pink,1.5,46.8,This kindhearted Pokémon nurses sick Pokémon to health. It senses feelings of sadness.
243,Raikou,ELECTRIC,None,90,85,75,115,115,100,Yellow,1.9,178.0,"This rough Pokémon stores energy inside its body, then sweeps across the land, shooting off electricity."
244,Entei,FIRE,None,115,115,85,100,90,75,Brown,2.1,198.0,"It is said that when it roars, a volcano erupts somewhere around the globe."
245,Suicune,WATER,None,100,75,115,85,90,115,Blue,2.0,187.0,"Said to be the embodiment of north winds, it can instantly purify filthy, murky water."
246,Larvitar,ROCK,GROUND,50,64,50,41,45,50,Green,0.6,72.0,"Born deep underground, it comes aboveground and becomes a pupa once it has finished eating the surrounding soil."
247,Pupitar,ROCK,GROUND,70,84,70,51,65,70,Gray,1.2,152.0,"Its shell is as hard as sheet rock, and it is also very strong. Its thrashing can topple a mountain."
248,Tyranitar,ROCK,DARK,100,134,110,61,95,100,Green,2.0,202.0,"If it rampages, it knocks down mountains and buries rivers. Maps must be redrawn afterward."
249,Lugia,PSYCHIC,FLYING,106,90,130,110,90,154,White,5.2,216.0,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
250,Ho-Oh,FIRE,FLYING,106,130,90,90,110,154,Red,3.8,199.0,"It will reveal itself before a pure-hearted Trainer by shining its bright, rainbow-colored wings."
251,Celebi,PSYCHIC,GRASS,100,100,100,100,100,100,Green,0.6,5.0,"It has the power to travel across time, but it is said to appear only in peaceful times."
252,Treecko,GRASS,None,40,45,35,70,65,55,Green,0.5,5.0,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.
253,Grovyle,GRASS,None,50,65,45,95,85,65,Green,0.9,21.6,"It lives in dense jungles. While closing in on its prey, it leaps from branch to branch."
254,Sceptile,GRASS,None,70,85,65,120,105,85,Green,1.7,52.2,It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.
255,Torchic,FIRE,None,45,60,40,45,70,50,Red,0.4,2.5,"A fire burns inside, so it feels very warm to hug. It launches fireballs of 1,800 degrees Fahrenheit."
256,Combusken,FIRE,FIGHTING,60,85,60,55,85,60,Red,0.9,19.5,"During a battle, the hot flame in its body increases. Its kicks have outstanding destructive power."
257,Blaziken,FIRE,FIGHTING,80,120,70,80,110,70,Red,1.9,52.0,"When facing a tough foe, it looses flames from its wrists. Its powerful legs let it jump clear over buildings."
258,Mudkip,WATER,None,50,70,50,40,50,50,Blue,0.4,7.6,"To alert it, the fin on its head senses the flow of water. It has the strength to heft boulders."
259,Marshtomp,WATER,GROUND,70,85,70,50,60,70,Blue,0.7,28.0,Living on muddy ground that provides poor footing has made its legs sturdy.
260,Swampert,WATER,GROUND,100,110,90,60,85,90,Blue,1.5,81.9,It can swim while towing a large ship. It bashes down foes with a swing of its thick arms.
261,Poochyena,DARK,None,35,55,35,35,30,30,Gray,0.5,13.6,It has a very tenacious nature. Its acute sense of smell lets it chase a chosen prey without ever losing track.
262,Mightyena,DARK,None,70,90,70,70,60,60,Gray,1.0,37.0,It chases down prey in a pack of around ten. They defeat foes with perfectly coordinated teamwork.
263,Zigzagoon,NORMAL,None,38,30,41,60,30,41,Brown,0.4,17.5,"A Pokémon with abundant curiosity. It shows an interest in everything, so it always zigzags."
264,Linoone,NORMAL,None,78,70,61,100,50,61,White,0.5,32.5,"It charges prey at speeds over 60 mph. However, because it can only run straight, it often fails."
265,Wurmple,BUG,None,45,45,35,20,20,30,Red,0.3,3.6,It lives among the tall grass and in forests. It repels attacks by raising up the spikes on its rear.
266,Silcoon,BUG,None,50,35,55,15,25,25,White,0.6,10.0,It drinks dew that collects on its silk and waits for evolution. Its hard cocoon repels attacks.
267,Beautifly,BUG,FLYING,60,70,50,65,100,50,Yellow,1.0,28.4,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey's fluids."
268,Cascoon,BUG,None,50,35,55,15,25,25,Purple,0.7,11.5,"It never forgets any attack it endured while in the cocoon. After evolution, it seeks payback."
269,Dustox,BUG,POISON,60,50,70,65,50,90,Green,1.2,31.6,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.
270,Lotad,WATER,GRASS,40,30,30,30,40,50,Green,0.5,2.6,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts."
271,Lombre,WATER,GRASS,60,50,50,50,60,70,Green,1.2,32.5,"It has a mischievous spirit. If it spots an angler, it will tug on the fishing line to interfere."
272,Ludicolo,WATER,GRASS,80,70,70,70,90,100,Green,1.5,55.0,"The rhythm of bright, festive music activates Ludicolo's cells, making it more powerful."
273,Seedot,GRASS,None,40,40,50,30,30,30,Brown,0.5,4.0,"When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon."
274,Nuzleaf,GRASS,DARK,70,70,40,60,60,40,Brown,1.0,28.0,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy."
275,Shiftry,GRASS,DARK,90,100,60,80,90,60,Brown,1.3,59.6,"By flapping its leafy fan, it can whip up gusts of 100 feet per second that can level houses."
276,Taillow,NORMAL,FLYING,40,55,30,85,30,30,Blue,0.3,2.3,"It dislikes cold seasons. They migrate to other lands in search of warmth, flying over 180 miles a day."
277,Swellow,NORMAL,FLYING,60,85,60,125,75,50,Blue,0.7,19.8,It dives at a steep angle as soon as it spots its prey. It catches its prey with sharp claws.
278,Wingull,WATER,FLYING,40,30,30,85,55,30,White,0.6,9.5,"It makes its nest on steep sea cliffs. Riding updrafts, it soars to great heights."
279,Pelipper,WATER,FLYING,60,50,100,65,95,70,Yellow,1.2,28.0,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill."
280,Ralts,PSYCHIC,FAIRY,28,25,25,40,45,35,White,0.4,6.6,It is highly attuned to the emotions of people and Pokémon. It hides if it senses hostility.
281,Kirlia,PSYCHIC,FAIRY,38,35,35,50,65,55,White,0.8,20.2,It has a psychic power that enables it to distort the space around it and see into the future.
282,Gardevoir,PSYCHIC,FAIRY,68,65,65,80,125,115,White,1.6,48.4,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
283,Surskit,BUG,WATER,40,30,32,65,50,52,Blue,0.5,1.7,It appears as if it is skating on water. It draws prey with a sweet scent from the tip of its head.
284,Masquerain,BUG,FLYING,70,60,62,80,100,82,Blue,0.8,3.6,It flaps its four wings to hover and fly freely in any direction--to and fro and sideways.
285,Shroomish,GRASS,None,60,40,60,35,40,60,Brown,0.4,4.5,It spouts poison spores from the top of its head. These spores cause pain all over if inhaled.
286,Breloom,GRASS,FIGHTING,60,130,80,70,60,60,Green,1.2,39.2,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.
287,Slakoth,NORMAL,None,60,60,60,30,35,35,Brown,0.8,24.0,"If it eats just three leaves in a day, it is satisfied. Other than that, it sleeps for 20 hours a day."
288,Vigoroth,NORMAL,None,80,80,80,90,55,55,White,1.4,46.5,Its stress level rises if it cannot keep moving constantly. Too much stress makes it feel sick.
289,Slaking,NORMAL,None,150,160,100,100,95,65,Brown,2.0,130.5,"It is the world's most slothful Pokémon. However, it can exert horrifying power by releasing pent-up energy all at once."
290,Nincada,BUG,GROUND,31,45,90,40,30,30,Gray,0.5,5.5,It can sometimes live underground for more than 10 years. It absorbs nutrients from the roots of trees.
291,Ninjask,BUG,FLYING,61,90,45,160,50,50,Yellow,0.8,12.0,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap."
292,Shedinja,BUG,GHOST,1,90,45,40,30,30,Brown,0.8,1.2,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.
293,Whismur,NORMAL,None,64,51,23,28,51,23,Pink,0.6,16.3,"If it senses danger, it scares the foe by crying out with the volume of a jet-plane engine."
294,Loudred,NORMAL,None,84,71,43,48,71,43,Blue,1.0,40.5,The shock waves from its cries can tip over trucks. It stamps its feet to power up.
295,Exploud,NORMAL,None,104,91,63,68,91,73,Blue,1.5,84.0,Its roar in battle shakes the ground like a tremor--or like an earthquake has struck.
296,Makuhita,FIGHTING,None,72,60,30,25,20,30,Yellow,1.0,86.4,It grows stronger by enduring harsh training. It is a gutsy Pokémon that can withstand any attack.
297,Hariyama,FIGHTING,None,144,120,60,50,40,60,Brown,2.3,253.8,It loves to match power with big-bodied Pokémon. It can knock a truck flying with its arm thrusts.
298,Azurill,NORMAL,FAIRY,50,20,40,20,20,40,Blue,0.2,2.0,"It swings its large, nutrient-filled tail around to fight opponents bigger than itself."
299,Nosepass,ROCK,None,30,45,135,30,45,90,Gray,1.0,97.0,Its magnetic nose consistently faces north. Travelers check Nosepass to get their bearings.
300,Skitty,NORMAL,None,50,45,45,50,35,35,Pink,0.6,11.0,It shows its cute side by chasing its own tail until it gets dizzy.
301,Delcatty,NORMAL,None,70,65,65,90,55,55,Purple,1.1,32.6,It is highly popular among female Trainers for its sublime fur. It does not keep a nest.
302,Sableye,DARK,GHOST,50,75,75,50,65,65,Purple,0.5,11.0,It dwells in the darkness of caves. It uses its sharp claws to dig up gems to nourish itself.
303,Mawile,STEEL,FAIRY,50,85,85,50,55,55,Black,0.6,11.5,Attached to its head is a huge set of jaws formed by horns. It can chew through iron beams.
304,Aron,STEEL,ROCK,50,70,100,30,40,40,Gray,0.4,60.0,"When it evolves, it sheds the steel carapace that covered its whole body and develops a new one."
305,Lairon,STEEL,ROCK,60,90,140,40,50,50,Gray,0.9,120.0,It habitually shows off its strength with the size of sparks it creates by ramming its steel body into boulders.
306,Aggron,STEEL,ROCK,70,110,180,50,60,60,Gray,2.1,360.0,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns."
307,Meditite,FIGHTING,PSYCHIC,30,40,55,60,40,55,Blue,0.6,11.2,"It eats just one berry a day. By enduring hunger, its spirit is tempered and made sharper."
308,Medicham,FIGHTING,PSYCHIC,60,60,75,80,60,75,Red,1.3,31.5,"Through yoga training, it gained the psychic power to predict its foe's next move."
309,Electrike,ELECTRIC,None,40,45,40,65,65,40,Green,0.6,15.2,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.
310,Manectric,ELECTRIC,None,70,75,60,105,105,60,Yellow,1.5,40.2,It discharges electricity from its mane. It creates a thundercloud overhead to drop lightning bolts.
311,Plusle,ELECTRIC,None,60,50,40,95,85,75,Yellow,0.4,4.2,It absorbs electricity from telephone poles. It shorts out its body to create crackling noises.
312,Minun,ELECTRIC,None,60,40,50,95,75,85,Yellow,0.4,4.2,"It cheers on friends. If its friends are losing, its body lets off more and more sparks."
313,Volbeat,BUG,None,65,73,75,85,47,85,Gray,0.7,17.7,"It lives around clean ponds. At night, its rear lights up. It converses with others by flashing its light."
314,Illumise,BUG,None,65,47,75,85,73,85,Purple,0.6,17.7,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky."
315,Roselia,GRASS,POISON,50,60,45,65,100,80,Green,0.3,2.0,Roselia that drink nutritionally rich springwater are said to reveal rare coloration when they bloom.
316,Gulpin,POISON,None,70,43,53,40,43,53,Green,0.4,10.3,"There is nothing its stomach can't digest. While it is digesting, vile, overpowering gases are expelled."
317,Swalot,POISON,None,100,73,83,55,73,83,Purple,1.7,80.0,It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.
318,Carvanha,WATER,DARK,45,90,20,65,65,20,Red,0.8,20.8,It lives in massive rivers that course through jungles. It swarms prey that enter its territory.
319,Sharpedo,WATER,DARK,70,120,40,95,95,40,Blue,1.8,88.8,It can swim at speeds of 75 mph by jetting seawater through its body. It is the bandit of the sea.
320,Wailmer,WATER,None,130,70,35,60,70,35,Blue,2.0,130.0,It eats one ton of food every day. It plays by shooting stored seawater out its blowholes with great force.
321,Wailord,WATER,None,170,90,45,60,90,45,Blue,14.5,398.0,"The biggest of all Pokémon. It can dive to a depth of almost 10,000 feet on only one breath."
322,Numel,FIRE,GROUND,60,60,40,35,65,45,Yellow,0.7,24.0,"The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves."
323,Camerupt,FIRE,GROUND,70,100,70,40,105,75,Red,1.9,220.0,"If angered, the humps on its back erupt in a shower of molten lava. It lives in the craters of volcanoes."
324,Torkoal,FIRE,None,70,85,140,20,85,70,Brown,0.5,80.4,It burns coal inside its shell for energy. It blows out black soot if it is endangered.
325,Spoink,PSYCHIC,None,60,25,35,60,70,80,Black,0.7,30.6,It bounces around on its tail to keep its heart pumping. It carries a pearl from Clamperl on its head.
326,Grumpig,PSYCHIC,None,80,45,65,80,90,110,Purple,0.9,71.5,It uses black pearls to amplify its psychic power. It does an odd dance to gain control over foes.
327,Spinda,NORMAL,None,60,60,60,60,60,60,Brown,1.1,5.0,The chances of two Spinda having identical spot patterns is less than one in four billion.
328,Trapinch,GROUND,None,45,100,45,10,45,45,Brown,0.7,15.0,It makes an inescapable conical pit and lies in wait at the bottom for prey to come tumbling down.
329,Vibrava,GROUND,DRAGON,50,70,50,70,50,50,Green,1.1,15.3,"It generates ultrasonic waves by violently flapping its wings. After making its prey faint, it melts the prey with acid."
330,Flygon,GROUND,DRAGON,80,100,80,100,80,80,Green,2.0,82.0,"Known as ""The Desert Spirit,"" this Pokémon hides in the sandstorms it causes by beating its wings."
331,Cacnea,GRASS,None,50,85,40,35,85,40,Green,0.4,51.3,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.
332,Cacturne,GRASS,DARK,70,115,60,55,115,60,Green,1.3,77.4,Packs of them follow travelers through the desert until the travelers can no longer move.
333,Swablu,NORMAL,FLYING,45,40,60,50,40,75,Blue,0.4,1.2,It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.
334,Altaria,DRAGON,FLYING,75,70,90,80,70,105,Blue,1.1,20.6,"On sunny days, it flies freely through the sky and blends into the clouds. It sings in a beautiful soprano."
335,Zangoose,NORMAL,None,73,115,60,90,60,60,White,1.3,40.3,Its fur would all stand on end if it smelled a Seviper nearby. Its sharp claws tear up its foes.
336,Seviper,POISON,None,73,100,60,65,100,60,Black,2.7,52.5,Constant polishing makes the edge of the blade on its tail extremely sharp. It's Zangoose's archrival.
337,Lunatone,ROCK,PSYCHIC,90,55,65,70,95,85,Yellow,1.0,168.0,It was discovered at the site of a meteor strike 40 years ago. Its stare can lull its foes to sleep.
338,Solrock,ROCK,PSYCHIC,90,95,85,70,55,65,Red,1.2,154.0,"It absorbs solar energy during the day. Always expressionless, it can sense what its foe is thinking."
339,Barboach,WATER,GROUND,50,48,43,60,46,41,Gray,0.4,1.9,"Its whiskers make a superb radar. They are used to locate prey, even in the murkiest of water."
340,Whiscash,WATER,GROUND,110,78,73,60,76,71,Blue,0.9,23.6,"It makes its nest at the bottom of swamps. It will eat anything--if it is alive, Whiscash will eat it."
341,Corphish,WATER,None,43,80,65,35,50,35,Red,0.6,11.5,Its hardy vitality enables it to adapt to any environment. Its pincers will never release prey.
342,Crawdaunt,WATER,DARK,63,120,85,55,90,55,Red,1.1,32.8,"Loving to battle, this Pokémon pinches all Pokémon that enter its territory with its pincers and throws them out."
343,Baltoy,GROUND,PSYCHIC,40,40,55,55,40,70,Brown,0.5,21.5,It moves by spinning on its foot. It is a rare Pokémon that was discovered in ancient ruins.
344,Claydol,GROUND,PSYCHIC,60,70,105,75,70,120,Black,1.5,108.0,It is said that it originates from clay dolls made by an ancient civilization.
345,Lileep,ROCK,GRASS,66,41,77,23,61,87,Purple,1.0,23.8,It lived on the seafloor 100 million years ago and was reanimated scientifically.
346,Cradily,ROCK,GRASS,86,81,97,43,81,107,Green,1.5,60.4,It ensnares prey with its eight tentacles. It then melts the prey with a strong acid before feeding.
347,Anorith,ROCK,BUG,45,95,50,75,40,50,Gray,0.7,12.5,A Pokémon ancestor that was reanimated from a fossil. It lived in the sea and hunted with claws.
348,Armaldo,ROCK,BUG,75,125,100,45,70,80,Gray,1.5,68.2,"Protected by a hard shell, its body is very sturdy. It skewers prey with its claws to feed."
349,Feebas,WATER,None,20,15,20,80,10,55,Brown,0.6,7.4,It is the shabbiest Pokémon of all. It forms in schools and lives at the bottom of rivers.
350,Milotic,WATER,None,95,60,79,81,100,125,Pink,6.2,162.0,It is the world's most beautiful Pokémon. There are many works of art featuring Milotic.
351,Castform,NORMAL,None,70,70,70,70,70,70,Gray,0.3,0.8,"It has the ability to change its form into the sun, the rain, or a snow cloud, depending on the weather."
352,Kecleon,NORMAL,None,60,90,70,40,60,120,Green,1.0,22.0,It changes its shading to match its surroundings so it can sneak up on prey. Only its belly patterns stay fixed.
353,Shuppet,GHOST,None,44,75,35,45,63,33,Black,0.6,2.3,It loves vengeful emotions and hangs in rows under the eaves of houses where vengeful people live.
354,Banette,GHOST,None,64,115,65,65,83,63,Black,1.1,12.5,"Strong feelings of hatred turned a puppet into a Pokémon. If it opens its mouth, its cursed energy escapes."
355,Duskull,GHOST,None,20,40,90,25,30,90,Black,0.8,15.0,"If it finds bad children who won't listen to their parents, it will spirit them away--or so it's said."
356,Dusclops,GHOST,None,40,70,130,25,60,130,Black,1.6,30.6,Its body is hollow. It is said that those who look into its body are sucked into the void.
357,Tropius,GRASS,FLYING,99,68,83,51,72,87,Green,2.0,100.0,The bunch of fruit around its neck ripens twice a year and is delicious. It's a highly favored tropical snack.
358,Chimecho,PSYCHIC,None,75,50,80,65,95,90,Blue,0.6,1.0,"Emitting ultrasonic cries, it floats on winds to travel great distances."
359,Absol,DARK,None,65,130,60,75,75,60,White,1.2,47.0,"It appears when it senses an impending natural disaster. As a result, it was mistaken as a doom bringer."
360,Wynaut,PSYCHIC,None,95,23,48,23,23,48,Blue,0.6,14.0,It grows strong by pushing up against others en masse. It loves eating sweet fruit.
361,Snorunt,ICE,None,50,50,50,50,50,50,Gray,0.7,16.8,"In the snow country, certain folklore says a house will prosper if a Snorunt lives there."
362,Glalie,ICE,None,80,80,80,80,80,80,Gray,1.5,256.5,It can instantly freeze moisture in the atmosphere. It uses this power to freeze its foes.
363,Spheal,ICE,WATER,70,40,50,25,55,50,Blue,0.8,39.5,Its body is covered in fluffy fur. The fur keeps it from feeling cold while it is rolling on ice.
364,Sealeo,ICE,WATER,90,60,70,45,75,70,Blue,1.1,87.6,"Be it Spheal or Poké Ball, it will spin any round object on its nose with the greatest of ease."
365,Walrein,ICE,WATER,110,80,90,65,95,90,Blue,1.4,150.6,It shatters drift ice with its strong tusks. Its thick layer of blubber repels enemy attacks.
366,Clamperl,WATER,None,35,64,85,32,74,55,Blue,0.4,52.5,"It is protected by a sturdy shell. Once in a lifetime, it makes a magnificent pearl."
367,Huntail,WATER,None,55,104,105,52,94,75,Blue,1.7,27.0,"It lives deep in the sea. With a tail shaped like a small fish, it attracts unsuspecting prey."
368,Gorebyss,WATER,None,55,84,105,52,114,75,Pink,1.8,22.6,"Its swimming form is exquisitely elegant. With its thin mouth, it feeds on seaweed that grows between rocks."
369,Relicanth,WATER,ROCK,100,90,130,55,45,65,Gray,1.0,23.4,A rare Pokémon discovered during a deep-sea exploration. It has not changed in over 100 million years.
370,Luvdisc,WATER,None,43,30,55,97,40,65,Pink,0.6,8.7,"During the spawning season, countless Luvdisc congregate at coral reefs, turning the waters pink."
371,Bagon,DRAGON,None,45,75,60,50,40,30,Blue,0.6,42.1,"Dreaming of one day flying, it practices by leaping off cliffs every day."
372,Shelgon,DRAGON,None,65,95,100,50,60,50,White,1.1,110.5,"Its armored body makes all attacks bounce off. The armor is too tough, however, making it heavy and somewhat sluggish."
